Code,New code,Area name,Inner/ Outer London,GLA Population Estimate 2014,GLA Household Estimate 2014,Inland Area (Hectares),Population density (per hectare) 2013,"Average Age, 2013","Proportion of population aged 0-15, 2013","Proportion of population of working-age, 2013","Proportion of population aged 65 and over, 2013",% of resident population born abroad (2013),Largest migrant population by country of birth (2011),% of largest migrant population (2011),Second largest migrant population by country of birth (2011),% of second largest migrant population (2011),Third largest migrant population by country of birth (2011),% of third largest migrant population (2011),% of population from BAME groups (2013),% people aged 3+ whose main language is not English (2011 Census),"Overseas nationals entering the UK (NINo), (2013/14)","New migrant (NINo) rates, (2013/14)",Employment rate (%) (2013/14),Male employment rate (2013/14),Female employment rate (2013/14),Unemployment rate (2013/14),Youth Unemployment rate (2013/14),Proportion of 16-18 year olds who are NEET (%) (2013),Proportion of the working-age population who claim benefits (%) (May-2014),% working-age with a disability (2012),Proportion of working age people with no qualifications (%) 2013,Proportion of working age people in London with degree or equivalent and above (%) 2013,"Gross Annual Pay, (2014)",Gross Annual Pay - Male (2014),Gross Annual Pay - Female (2014),% adults that volunteered in past 12 months (2010/11 to 2012/13),Number of jobs by workplace (2013),% of employment that is in public sector (2012),"Jobs Density, 2013","Number of active businesses, 2013",Two-year business survival rates 2012,Crime rates per thousand population 2013/14,Fires per thousand population (2014),Ambulance incidents per hundred population (2014),"Median House Price, 2013","Average Band D Council Tax charge (£), 2014/15",New Homes (net) 2013/14,"Homes Owned outright, (2013) %","Being bought with mortgage or loan, (2013) %","Rented from Local Authority or Housing Association, (2013) %","Rented from Private landlord, (2013) %","% of area that is Greenspace, 2005",Total carbon emissions (2012),"Household Waste Recycling Rate, 2013/14","Number of cars, (2011 Census)","Number of cars per household, (2011 Census)","% of adults who cycle at least once per month, 2012/13","Average Public Transport Accessibility score, 2012",Indices of Multiple Deprivation 2010 Rank of Average Score,Income Support claimant rate (May-14),% children living in out-of-work families (2013),"Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths, 2012/13","Rates of Children Looked After per 10,000 aged under 18 years (2014)",% of pupils whose first language is not English (2014),"Male life expectancy, (2011-13)","Female life expectancy, (2011-13)",Teenage conception rate (2012),Life satisfaction score 2013-14 (out of 10),Worthwhileness score 2013-14 (out of 10),Happiness score 2013-14 (out of 10),Anxiety score 2013-14 (out of 10),Political control in council,Proportion of seats won by Conservatives in 2014 election,Proportion of seats won by Labour in 2014 election,Proportion of seats won by Lib Dems in 2014 election,Turnout at 2014 local elections,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,E09000001,City of London,Inner London,"8,000","4,632",290.4,27.5,41.3,7.9,77.5,14.5,.,United States,2.8,France,2.0,Australia,1.9,22.6,17.1,712,125,.,.,.,.,.,5.1,13.7,.,.,65.3,"£54,591","£62,263","£42,904",.,"460,700",5.3, 81.08 ,"17,775",64,.,.,.,"595,000",942,440,.,.,.,.,4.8,"1,499.0",38.8,"1,692",0.4,.,7.6,262,0.5,.,.,87,.,.,.,.,8.2,7.89,7.24,.,,,,,,,,
00AB,E09000002,Barking and Dagenham,Outer London,"201,000","75,327",3610.8,55.7,33.2,26.1,63.8,10.1,35.8,Nigeria,4.7,India,2.3,Pakistan,2.3,45.7,18.7,"4,405",36,63.2,73.2,53.5,13.0,25.5,5.8,7.6,22.6,15.7,21.2,"£32,413","£36,122","£29,147",21,"54,300",22.1, 0.44 ,"5,055",73, 88.71 , 3.08 , 14.00 ,"180,000","1,315",730,15.8,29.1,34.9,17.9,33.6,780.8,24.8,"56,966",0.8,9.3,3.0,22,3.8,27.9,60.2,80,44.7,77.7,82.4,35.4,6.93,7.33,7.04,3.57,Lab,0,100,0,38.2,,,
00AC,E09000003,Barnet,Outer London,"384,600","146,819",8674.8,44.3,36.9,20.9,65.5,13.6,35.9,India,3.1,Poland,2.4,Iran,2.0,37.1,23.4,"9,406",39,72.5,80.0,65.0,5.3,12.1,2.3,8.2,11.8,4.4,43.8,"£31,010","£36,479","£25,640",33,"159,400",20.3, 0.66 ,"23,135",72, 68.72 , 1.65 , 11.29 ,"346,000","1,401","1,110",31.5,29.3,12.9,24.2,41.3,"1,542.0",36.4,"144,717",1.1,10.0,3.0,176,1.6,15.1,71.5,36,43.2,81.9,85.0,14.7,7.39,7.69,7.53,2.61,Cons,51,43,2,41.1,,,
00AD,E09000004,Bexley,Outer London,"236,200","93,859",6058.1,39.0,38.9,20.3,63.1,16.6,16.5,Nigeria,2.6,India,1.5,Ireland,0.9,19.6,6.0,"1,401",9,72.2,79.5,65.1,8.6,16.7,4.2,10.4,20.2,4.8,21.9,"£28,579","£31,374","£23,988",22,"80,300",18.0, 0.54 ,"7,830",77, 52.12 , 2.27 , 11.86 ,"225,000","1,428",530,36.2,36.9,14.6,11.7,31.7,"1,096.0",55.2,"108,507",1.2,7.7,2.5,174,2.2,18.2,66.0,46,14.1,80.3,84.3,25.8,7.26,7.76,7.29,3.4,Cons,71,24,0,not avail,,,
00AE,E09000005,Brent,Outer London,"322,800","114,465",4323.3,74.7,35.3,20.5,68.7,10.8,53.3,India,9.2,Poland,3.4,Ireland,2.9,64.9,37.2,"16,696",77,65.9,75.3,56.0,9.4,19.4,3.0,7.2,18.7,7.9,36.9,"£29,489","£30,862",.,17,"122,400",19.1, 0.56 ,"13,915",74, 85.92 , 1.83 , 12.25 ,"350,000","1,358",730,19.5,24.5,23.0,30.9,21.9,"1,358.2",40.8,"87,802",0.8,12.1,3.7,35,2.1,21.8,62.9,48,62.0,80.0,84.9,19.6,7.31,7.51,7.22,3.15,Lab,10,89,2,33.0,,,
00AF,E09000006,Bromley,Outer London,"318,300","133,606",15013.5,21.2,39.8,19.6,62.9,17.4,15.9,India,1.1,Ireland,1.1,Nigeria,0.7,16.9,5.8,"1,902",10,77.7,83.9,71.8,5.1,28.0,5.8,10.2,16.4,5.8,39.1,"£28,222","£32,423","£25,401",29,"131,600",18.4, 0.66 ,"14,065",77, 63.69 , 2.34 , 11.38 ,"295,650","1,309",150,39.6,37.4,9.7,11.1,57.8,"1,376.1",49.6,"153,908",1.2,11.7,2.7,203,1.8,14.7,73.9,38,10.1,81.3,84.9,24.2,7.5,7.73,7.55,3.18,Cons,85,12,0,not avail,,,
00AG,E09000007,Camden,Inner London,"228,500","99,916",2178.9,104.9,35.8,15.6,73.3,11.1,44.2,United States,2.8,Bangladesh,2.7,Ireland,2.4,34.6,23.5,"8,715",53,64.7,70.7,58.4,7.1,19.3,4.4,4.5,17.0,9.7,53.7,"£36,462","£38,914","£32,970",22,"356,400",13.5, 2.16 ,"27,530",71, 142.96 , 2.71 , 15.06 ,"575,000","1,321",450,16.5,15.5,37.3,29.4,24.8,"1,625.4",29.3,"46,601",0.5,16.2,5.6,74,2.2,24.4,60.4,54,54.3,81.1,86.0,18.1,7.13,7.47,7.23,3.38,Lab,22,74,2,38.7,,,
00AH,E09000008,Croydon,Outer London,"377,200","150,707",8650.4,43.6,36.6,21.6,65.6,12.7,32.8,India,3.6,Jamaica,2.5,Ghana,1.5,47.2,14.5,"5,776",24,73.4,76.9,69.9,9.4,25.4,3.0,10,16.8,6.1,33.0,"£31,228","£33,039","£26,865",27,"129,500",22.1, 0.53 ,"13,515",75, 83.46 , 0.26 , 12.94 ,"240,000","1,470","1,300",26.6,38.8,14.5,18.8,37.1,"1,540.4",42.2,"140,049",1.0,11.8,3.2,107,2.6,20.8,64.4,86,29.1,80.0,83.5,28.6,7.38,7.62,7.31,3.39,Lab,43,57,0,38.0,,,
00AJ,E09000009,Ealing,Outer London,"346,600","127,447",5554.4,62.4,35.6,20.6,68.2,11.1,46.9,India,7.6,Poland,6.4,Ireland,2.3,52.4,33.9,"11,289",49,67.1,75.2,58.2,10.9,39.4,3.3,9.5,17.6,10.6,36.9,"£28,752","£30,651","£26,232",32,"151,600",16.0, 0.65 ,"16,310",77, 87.60 , 2.45 , 14.08 ,"327,000","1,359",770,20.8,30.9,16.2,30.8,30.9,"1,602.8",40.2,"112,845",0.9,16.3,3.3,80,1.9,19.8,60.9,49,59.6,79.9,84.3,22.4,7.28,7.61,7.22,3.37,Lab,17,77,6,41.3,,,
00AK,E09000010,Enfield,Outer London,"320,600","122,240",8083.2,39.7,36.1,22.2,65.1,12.7,32.3,Turkey,4.5,Cyprus (Not otherwise specified),3.6,Poland,1.9,41.2,22.9,"5,665",27,66.4,74.5,58.4,7.2,11.8,4.2,11.7,15.3,8.7,28.9,"£25,763","£26,954","£23,408",22,"115,700",23.1, 0.56 ,"12,065",71, 70.26 , 2.03 , 12.23 ,"250,000","1,399",510,28.8,30.2,19.9,20.8,45.6,"1,266.6",39.1,"119,653",1.0,8.6,2.9,64,3.0,25.3,63.2,37,45.8,80.6,84.3,26.4,7.31,7.56,7.41,2.53,Lab,35,65,0,37.8,,,
00AL,E09000011,Greenwich,Outer London,"275,100","110,045",4733.4,58.1,34.7,21.8,67.7,10.6,31.6,Nigeria,5.1,Nepal,1.9,India,1.7,39.6,16.9,"5,149",29,63.8,71.4,56.4,10.8,32.7,6.5,11.4,18.8,7.1,36.2,"£29,143","£31,163","£27,569",17,"83,400",27.6, 0.47 ,"8,320",73, 79.96 , 2.73 , 14.96 ,"265,000","1,280","1,110",16.1,30.9,33.5,16.3,34.4,"1,103.8",38.8,"78,185",0.8,11.1,3.3,28,3.0,25.6,65.4,85,38.7,78.7,82.8,34.7,7.21,7.71,7.31,3.13,Lab,16,84,0,37.3,,,
00AM,E09000012,Hackney,Inner London,"259,300","106,225",1904.9,136.1,32.6,20.5,72.4,7.1,38.8,Turkey,3.6,Nigeria,2.7,Jamaica,1.8,45.7,24.1,"7,615",41,63.7,70.6,57.2,11.1,21.9,3.2,13,22.4,10.7,43.1,"£33,101",.,.,30,"123,300",18.1, 0.66 ,"14,180",75, 108.03 , 2.64 , 12.33 ,"375,000","1,297","1,130",13.4,22.2,45.1,18.0,23.2,936.1,25.4,"41,800",0.4,21.8,4.8,2,2.9,30.8,61.2,56,50.9,78.2,83.2,28.8,7.13,7.41,6.87,3.84,Lab,7,88,5,42.9,,,
00AN,E09000013,Hammersmith and Fulham,Inner London,"188,200","82,347",1639.7,114.8,34.9,16.8,73.8,9.5,41.4,France,2.7,Ireland,2.7,Australia,2.5,33.5,22.7,"8,277",63,73.0,80.6,65.1,6.4,11.0,3.2,10.1,15.3,9.2,56.2,"£33,696","£38,162","£30,868",30,"141,500",20.3, 1.08 ,"12,850",73, 121.90 , 3.88 , 16.77 ,"570,000","1,034",630,18.7,21.3,26.4,31.8,19.1,975.9,20.5,"43,843",0.5,23.6,4.7,55,2.0,22.2,66.5,60,45.3,79.1,83.5,25.6,7.39,7.53,7.09,3.33,Lab,43,57,0,38.0,,,
00AP,E09000014,Haringey,Inner London,"266,000","106,009",2959.8,89.9,34.4,19.9,71.2,8.9,36.3,Poland,4.3,Turkey,4.0,Jamaica,2.0,40.0,29.7,"12,691",68,68.8,75.5,61.7,8.6,31.9,3.4,12.1,16.7,8.6,47.9,"£30,190","£33,060",.,30,"82,900",19.6, 0.44 ,"11,020",74, 88.76 , 1.37 , 8.36 ,"339,875","1,483",470,16.2,30.2,25.6,25.2,25.5,936.0,35.8,"61,515",0.6,16.3,4.1,13,2.6,26.1,63.5,87,52.3,80.1,84.7,33.1,7.31,7.66,7.29,3.2,Lab,0,84,16,38.1,,,
00AQ,E09000015,Harrow,Outer London,"246,000","86,342",5046.3,48.7,37.7,20.1,65.4,14.5,50.2,India,9.0,Kenya,4.9,Sri Lanka,4.3,60.2,28.5,"5,713",36,69.2,78.7,59.5,8.8,17.9,1.8,6.8,16.8,4.3,38.5,"£26,056","£28,500","£22,377",39,"78,500",16.6, 0.50 ,"12,970",75, 55.32 , 2.30 , 13.52 ,"325,000","1,509",300,34.4,27.7,11.9,23.6,34.6,869.4,49.2,"100,326",1.2,7.2,2.8,194,1.4,13.3,65.4,30,60.2,82.4,85.9,14.2,7.51,7.6,7.5,2.65,Lab,41,54,2,41.0,,,
00AR,E09000016,Havering,Outer London,"247,500","101,083",11235.0,22.0,40.3,18.8,62.8,18.4,11.3,Ireland,1.1,India,1.0,Nigeria,0.9,13.6,4.6,"1,338",9,74.1,81.2,67.4,7.4,21.5,4.3,8.5,16.8,8.2,18.5,"£30,004","£30,380","£29,251",17,"90,300",22.6, 0.60 ,"8,865",75, 67.99 , 1.36 , 10.03 ,"231,000","1,494",160,35.2,35.4,18.8,10.2,59.3,"1,065.5",31.5,"117,634",1.2,10.2,2.5,177,2.2,16.5,63.7,40,11.1,79.8,83.8,26.4,7.5,7.75,7.34,3.15,No Overall Control,41,2,0,43.0,,,
00AS,E09000017,Hillingdon,Outer London,"287,100","103,410",11570.1,24.8,36.2,20.9,66.1,13.0,30.4,India,5.7,Pakistan,1.8,Ireland,1.6,42.4,18.8,"4,598",24,71.0,80.3,62.0,8.0,22.1,3.5,7.9,16.6,6.8,34.3,"£33,991","£36,783","£30,701",24,"213,000",10.6, 1.13 ,"11,630",77, 71.95 , 2.15 , 11.03 ,"265,000","1,412",550,27.5,33.7,18.1,18.0,49.2,"1,834.2",43.1,"122,486",1.2,14.6,2.4,138,2.0,18.0,61.6,55,41.0,80.4,83.7,27.7,7.46,7.83,7.41,2.96,Cons,65,35,0,35.8,,,
00AT,E09000018,Hounslow,Outer London,"262,200","96,788",5597.8,46.8,35.3,20.6,68.5,10.8,47.1,India,10.7,Poland,4.1,Pakistan,2.8,50.2,28.7,"7,995",45,75.8,83.7,67.2,7.6,19.0,4.1,8.4,17.2,9.7,39.8,"£33,005","£35,418","£29,322",27,"166,900",12.9, 0.93 ,"12,230",76, 85.78 , 2.84 , 16.38 ,"280,000","1,379",690,20.8,26.1,19.7,32.9,39.6,"1,426.2",35.1,"94,042",1.0,13.5,3.1,118,1.9,21.0,66.7,53,57.9,79.7,83.4,30.4,7.34,7.59,7.52,3.16,Lab,18,82,0,36.8,,,
00AU,E09000019,Islington,Inner London,"217,600","98,061",1485.7,146.5,34.4,15.9,75.5,8.7,32.0,Ireland,2.8,Turkey,1.8,United States,1.5,32.7,19.9,"7,896",49,68.6,72.0,65.1,8.2,22.8,4.9,12.7,17.7,12.0,54.1,"£37,069","£39,926","£33,476",31,"220,300",16.1, 1.36 ,"16,850",76, 129.20 , 2.61 , 15.04 ,"462,726","1,261","1,240",15.3,19.6,39.1,23.3,12.4,"1,149.1",32.7,"38,629",0.4,20.1,5.6,14,2.9,31.5,63.5,81,45.6,78.2,83.4,30.1,7.36,7.65,7.2,3.43,Lab,0,98,0,38.4,,,
00AW,E09000020,Kensington and Chelsea,Inner London,"160,900","79,502",1212.4,132.7,38.3,15.9,70.9,13.2,51.8,United States,5.0,France,4.2,Italy,2.7,30.7,28.0,"6,092",56,63.7,71.8,55.5,9.0,33.9,5.0,8.4,13.3,7.5,56.5,"£29,989","£30,468","£28,620",31,"143,500",16.0, 1.31 ,"12,985",74, 133.93 , 3.61 , 19.73 ,"980,000","1,082",600,17.8,11.8,31.0,33.6,15.1,"1,395.3",25.4,"44,536",0.6,14.7,5.8,103,1.6,14.8,80.2,36,52.7,82.6,86.2,17.7,7.7,7.9,7.6,3.11,Cons,74,24,2,not avail,,,
